id,Country Name,Category,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Aruba,Country,ABW,"Population ages 0-14, total",SP.POP.0014.TO,23553,23970,24290,24520,24644,24651,24550,24241,23758,23254,22713,22126,21594,21143,20693,20248,19695,19089,18607,18245,18010,17968,17978,17946,17905,17754,17468,17097,16779,16799,17453,18796,19726,19917,20057,20040,19972,20038,20227,20508,20721,20750,20654,20489,20269,20180,20307,20503,20707,20885,20819,20486,20154,19906,19730,19600,19477,19332,19147,18912,18494,17898,17287
2,Africa Eastern and Southern,Region,AFE,"Population ages 0-14, total",SP.POP.0014.TO,57766140,59417612,61174179,63018650,64954558,66978043,69056382,71199056,73430497,75740117,78149231,80637169,83154884,85717332,88342975,91026584,93810644,96564864,99433945,102517102,105492682,108643457,112055738,115359873,118599918,121964760,125538031,129373151,133242293,137128251,141186924,145195102,149106299,153191140,156946382,160646514,164856024,168910103,172634594,176334867,180120975,183943017,187885424,191995002,196304857,200848834,205642756,210693620,215978619,221392710,226873997,232368309,237989980,243817023,249670374,255568551,261491996,267368650,273240920,279121688,284994017,290770514,296437659
3,Afghanistan,Country,AFG,"Population ages 0-14, total",SP.POP.0014.TO,3589290,3665076,3746296,3835639,3934872,4047409,4169591,4296185,4427899,4563993,4705422,4848645,4995574,5150747,5309220,5464733,5611221,5755555,5896064,5944156,5740461,5149800,4675918,4628135,4779805,4922083,4907729,4861986,4903210,5052384,5077301,5119303,5766047,6722019,7452377,7957593,8336155,8716812,9111376,9538092,9716430,9817923,10488288,11313831,11758412,12111730,12525733,12872747,13184652,13506299,13804200,14116918,14451010,14782614,15125207,15456438,15766736,16081817,16402090,16728622,17072920,17413008,17739100
4,Africa Western and Central,Region,AFW,"Population ages 0-14, total",SP.POP.0014.TO,40188607,41133083,42129142,43225330,44444306,45683833,46902683,48152165,49437940,50767276,52144250,53579206,55082388,56662040,58336990,60118671,61944990,63836644,65860518,67988841,70209917,72522024,74915051,77270729,79650272,82127580,84594826,87024538,89365515,91722414,94042963,96342018,98726623,101057131,103385608,105810828,108294136,110873690,113537657,116308923,119321789,122578929,125972032,129441566,133026955,136779261,140687199,144709616,148850420,153123117,157527345,162088182,166754375,171402589,175977565,180457903,184878888,189242017,193530566,197765836,201950074,206074345,210118276
5,Angola,Country,AGO,"Population ages 0-14, total",SP.POP.0014.TO,2262702,2324998,2388381,2453352,2519819,2579853,2630174,2674983,2717921,2766841,2835372,2918753,3005144,3095371,3188856,3284644,3382193,3483275,3589729,3702420,3822619,3951381,4089705,4237369,4395162,4564724,4745349,4931082,5119888,5313625,5510511,5712258,5913592,6114435,6321984,6533196,6746092,6961351,7175539,7391559,7613776,7845166,8088458,8346384,8623027,8918293,9232012,9565811,9920475,10294694,10687901,11097418,11523006,11963922,12415057,12871118,13329138,13787548,14243826,14696808,15145311,15588496,16020429
6,Albania,Country,ALB,"Population ages 0-14, total",SP.POP.0014.TO,660230,688745,717420,745316,771925,796052,817875,839008,861076,882497,899332,913306,926505,936772,944750,951662,956827,961394,964386,966642,970111,974211,980546,987991,996239,1005217,1014123,1024879,1036097,1057214,1070213,1058179,1046562,1035046,1023354,1011146,997155,980288,960317,937598,912618,882800,856575,828357,798628,767057,734388,700936,668414,638164,611109,588210,568948,552588,537717,523328,511771,501223,489665,478127,467437,457788,448503
7,Andorra,Country,AND,"Population ages 0-14, total",SP.POP.0014.TO,2539,2797,3074,3362,3654,3936,4272,4717,5189,5615,5995,6349,6678,6983,7272,7543,7803,8048,8259,8410,8451,8378,8497,8799,8977,9000,9084,9282,9418,9501,9529,9557,9622,9707,9813,9939,10006,10024,10056,10086,10098,10339,10815,11270,11676,11978,12108,12086,12007,11884,11671,11598,11655,11598,11416,11123,11006,10851,10573,10437,10361,10333,10213
8,Arab World,Union,ARB,"Population ages 0-14, total",SP.POP.0014.TO,40616274,41871030,43138179,44454787,45808554,47203509,48660237,50171027,51689406,53222198,54789864,56396300,58059115,59780961,61551983,63539759,65860269,68110642,70124574,72334085,74696240,76917988,79153219,81496992,83849630,86157406,88509631,90836432,92906149,94877311,97421850,98828024,100462938,102270481,104013816,105437039,106651229,107691334,108662170,109619331,110579342,111530200,112500054,113499726,114565935,115763250,116986871,118272839,119920489,121860024,123977395,126292227,128885638,131915254,135032801,137934147,140569880,143002621,145399755,147698841,149784264,151605810,153165560
9,United Arab Emirates,Country,ARE,"Population ages 0-14, total",SP.POP.0014.TO,51448,53337,55420,57684,60131,62793,65723,68926,75480,85649,95887,105728,115609,125799,136578,148118,164589,187349,213846,244169,277015,308443,337686,366965,396160,424634,457870,492744,521070,544366,563961,581003,596340,610290,622490,632479,655171,685203,704346,716760,726296,736320,748960,764729,782768,813560,869229,945394,1029377,1106650,1165799,1206937,1235570,1254286,1266578,1276709,1288760,1305519,1328009,1355237,1387612,1418167,1438088
10,Argentina,Country,ARG,"Population ages 0-14, total",SP.POP.0014.TO,6332082,6406608,6480804,6555377,6630601,6704851,6776657,6848174,6920769,6998449,7085429,7183794,7292980,7419267,7568578,7726463,7888774,8058684,8232240,8409551,8587457,8762245,8931392,9094356,9249100,9392360,9523446,9642770,9749401,9841087,9923135,9997310,10061416,10120239,10177919,10232736,10280809,10322641,10362154,10404492,10446623,10480859,10506597,10524279,10536490,10545212,10549195,10548628,10542552,10535676,10458055,10488330,10528457,10575005,10620844,10666195,10712909,10749948,10764622,10758123,10734508,10699429,10658669
